details_id,Company,Level,Total_Applicants,Industry,Class,Job_skills 
dt_72,Deloitte,Mid-Senior level,100,Staffing and Recruiting ,Class4,General Data Protection Regulation (GDPR)
dt_73,Policybazaar.com,Mid-Senior level,100,IT Services and IT Consulting ,Class4,Business Development
dt_74,Tata Consultancy Services,Associate,99,IT Services and IT Consulting ,Class2,Application Packaging
dt_75,Tata Elxsi,Mid-Senior level,100,IT Services and IT Consulting ,Class3,Procedural Programming
dt_76,IndusInd Bank,Mid-Senior level,34,Financial Services ,Class2,unknown
dt_77,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Python (Programming Language)
dt_78,Tata Consultancy Services,Mid-Senior level,47,IT Services and IT Consulting ,Class2,ServiceNow
dt_79,Saint-Gobain Research India,Mid-Senior level,100,Financial Services ,Class2,Material Characterization
dt_80,Infosys,Entry level,41,Telecommunications ,Class2,Python (Programming Language)
dt_81,Omnicom Media Group India,Associate,61,Retail ,Class2,Performance Management
dt_82,"Georgia IT, Inc.",Entry level,85,Staffing and Recruiting ,Class4,Java
dt_83,Hexaware Technologies,Mid-Senior level,2,IT Services and IT Consulting ,Class3,Backbase
dt_84,Tata Consultancy Services,Associate,74,IT Services and IT Consulting ,Class2,unknown
dt_85,Infosys BPM,Entry level,100,Environmental Services ,Class2,Insurance
dt_86,Allianz Partners,Entry level,52,Pharmaceutical Manufacturing ,Class1,Attention to Detail
dt_87,BlackRock,Mid-Senior level,98,IT Services and IT Consulting ,Class2,Project Communications
dt_88,NTT Ltd.,Entry level,100,IT Services and IT Consulting ,Class2,ITIL
dt_89,Birlasoft,Mid-Senior level,6,IT Services and IT Consulting ,Class2,Database Management System (DBMS)
dt_90,Redrob by McKinley Rice,Associate,80,IT Services and IT Consulting ,Class5,unknown
dt_91,LTIMindtree,Associate,100,Airlines and Aviation ,Class2,Local Area Network (LAN)
dt_92,Hitachi Energy,Entry level,100,Business Consulting and Services ,Class2,Communication
dt_93,Birlasoft,Mid-Senior level,88,IT Services and IT Consulting ,Class2,Project Management
dt_94,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,unknown
dt_95,Reliance Industries Limited,Entry level,77,Computers and Electronics Manufacturing ,Class2,Statutory
dt_96,Roku,Mid-Senior level,99,IT Services and IT Consulting ,Class2,Python (Programming Language)
dt_97,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Java
dt_98,Kotak Mutual Fund,Associate,100,Staffing and Recruiting ,Class1,Contact Centers
dt_99,BluSmart,Mid-Senior level,100,Business Consulting and Services ,Class3,English
dt_100,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,SQL
dt_101,Quess IT Staffing,Associate,100,Insurance ,Class4,ServiceNow
dt_102,Genpact,Mid-Senior level,100,Staffing and Recruiting ,Class4,US Payroll
dt_103,Marsh McLennan,Mid-Senior level,100,Banking ,Class2,Oracle Database Administration
dt_104,CARS24,Mid-Senior level,89,Manufacturing ,Class2,Sketch App
dt_105,S&P Global,Mid-Senior level,83,IT Services and IT Consulting ,Class3,Quality Assurance
dt_106,Epsilon India,Associate,100,IT Services and IT Consulting ,Class2,Request Tracker
dt_107,HARMAN India,Mid-Senior level,94,Banking ,Class2,Spyglass
dt_108,Aspire Higher HR Solutions,Mid-Senior level,94,IT Services and IT Consulting ,Class3,MySQL
dt_109,Invest India,Associate,66,IT Services and IT Consulting ,Class3,Microsoft PowerPoint
dt_110,dentsu,Mid-Senior level,37,Research Services ,Class1,Databases
dt_111,Google,Mid-Senior level,40,IT Services and IT Consulting ,Class3,Relational Databases
dt_112,Cognizant,Entry level,17,Advertising Services ,Class1,Process Auditing
dt_113,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,Salesforce.com
dt_114,iEnergizer,Entry level,100,IT Services and IT Consulting ,Class1,Customer Service
